areaname, bookid, 开发企业名称, 开发资质证书号, 备注, 项目名称, 项目坐落, 预售房屋建筑面积, 土地使用权证号及用途, 住宅, 预售房屋栋号及层数, 商业用房, 发证时各栋已建层数, 办公用房统计, 预售房屋占用土地是否抵押, 其它, 预售款专用账户, 发证机关查询、投诉电话, 发证机关（盖章）, 有效期, 发证日期
广东省江门市商品房预售许可证, 编号:蓬江预许字第2019041号, 江门市中梁置业有限公司, 粤（江）房开证字第1260007号, , 雅滨园, 江门市蓬江区杜阮镇群华路南侧，灏景园西北侧（瑶村区坑、青草山、过岭、止云亭等地段）, 12524.80平方米128套, 0043266；其他商服用地：城镇住宅用地, 12524.80平方米128套, , 0平方米0套, 江门市蓬江区杜阮镇群华路69号雅滨园73栋:22层, 0平方米0套, 否, 0平方米0套, 中国民生银行股份有限公司江门支行(630511161), 0750-3167397, 江门市蓬江区住房和城乡建设局, 自2019年08月22日至2020年08月22日(过期无效), 2019年08月22日
广东省江门市商品房预售许可证, 编号:蓬江预许字第2019040号, 江门市蓬江区棠下碧桂园房地产开发有限公司, 粤（江）房开证字第1260003号, , 滨江碧桂园, 江门市滨江新区华盛路与龙腾路交叉口东北角, 1053.26平方米4套, 粤（2017）江门市不动产权第0059441号；城镇住宅用地；其他商服用地, 0平方米0套, , 1053.26平方米4套, 江门市蓬江区棠下镇华盛路120号:1层, 0平方米0套, 否, 0平方米0套, 广州银行股份有限公司江门分行(817000538802060), 0750-3167397, 江门市蓬江区住房和城乡建设局, 自2019年08月22日至2020年08月22日(过期无效), 2019年08月22日
广东省江门市商品房预售许可证, 编号:蓬江预许字第2019039号, 江门市美顺房地产开发有限公司, 粤（江）房开证字第1260001号, , 美雅花园, 江门市蓬江区杜阮镇芝山大道春景园西侧地块, 14501.73平方米132套, 粤（2017）江门市不动产权第0059651号；其他商服用地；城镇住宅用地, 14501.73平方米132套, , 0平方米0套, 江门市蓬江区杜阮镇美雅花园7栋:31层, 0平方米0套, 否, 0平方米0套, 中国工商银行股份有限公司江门分行(2012002719086958695), 0750-3167397, 江门市蓬江区住房和城乡建设局, 自2019年08月21日至2020年08月21日(过期无效), 2019年08月21日
广东省江门市商品房预售许可证, 编号:蓬江预许字第2019038号, 江门市蓬江区天阙房地产开发有限公司, 粤（江）房开证字第1200189号, , 杜阮碧桂园一期, 蓬江区杜阮镇杜阮一路南侧（瑶村村南山地段）, 12729.72平方米100套, 粤（2017）江门市不动产权第0043577；其他商服用地；城镇住宅用地, 12309.17平方米93套, , 420.55平方米7套, 江门市蓬江区杜阮镇珑悦府8栋、杜阮北一路79号:32层, 0平方米0套, 否, 0平方米0套, 兴业银行股份有限公司江门分行(398000100100572635), 0750-3167397, 江门市蓬江区住房和城乡建设局, 自2019年08月16日至2020年08月16日(过期无效), 2019年08月16日
广东省江门市商品房预售许可证, 编号:蓬江预许字第2019037号, 江门市岭南印象房地产开发有限公司, 粤（江）房开证字第1261012号, , 岭南印象园14-18幢, 江门市蓬江区双龙大道与胜利北路交叉口西南侧地段（C地块）, 22524.46平方米225套, 江国用（2014）第120206号；城镇混合住宅用地, 19403.52平方米192套, , 3120.94平方米33套, 岭南印象园14栋、龙福路125号:25层，岭南印象园15栋、胜利北路127号:25层，龙福路123号:2层, 0平方米0套, 否, 0平方米0套, 江门农村商业银行股份有限公司北新支行(80020000013822916), 0750-3167397, 江门市蓬江区住房和城乡建设局, 自2019年08月16日至2020年08月16日(过期无效), 2019年08月16日
广东省江门市商品房预售许可证, 编号:蓬江预许字第2019036号, 江门市岭南印象房地产开发有限公司, 粤（江）房开证字第1261012号, , 岭南印象园14-18幢, 江门市蓬江区双龙大道与胜利北路交叉口西南侧地段（C地块）, 1018.84平方米15套, 江国用（2014）第120206号；城镇混合住宅用地, 0平方米0套, , 1018.84平方米15套, 胜利北路123号:2层, 0平方米0套, 否, 0平方米0套, 江门农村商业银行股份有限公司北新支行(80020000013822778), 0750-3167397, 江门市蓬江区住房和城乡建设局, 自2019年08月16日至2020年08月16日(过期无效), 2019年08月16日
广东省江门市商品房预售许可证, 编号:蓬江预许字第2019035号, 江门市环市房地产开发公司群星分公司, 粤（江）房开证字第1261021号, , 星福·尚岭新筑花园三期, 江门市蓬江区群星村东华里北地段, 4794.15平方米45套, 粤（2016）江门市不动产权第0026786号；城镇住宅用地、其他商服用地, 4794.15平方米45套, , 0平方米0套, 江门市蓬江区星福尚岭新筑花园23幢:16层, 0平方米0套, 否, 0平方米0套, 江门农村商业银行股份有限公司东华支行(80020000013859287), 0750-3167397, 江门市蓬江区住房和城乡建设局, 自2019年08月13日至2020年08月13日(过期无效), 2019年08月13日
广东省江门市商品房预售许可证, 编号:蓬江预许字第2019034号, 江门市滨江房地产开发投资有限公司, 粤（江）房开证字第1260018号, , 滨江盛悦华府, 江门大道与华盛路立交东南角，桐井河以北, 840.94平方米6套, 粤（2018）江门市不动产权第0097205号；城镇住宅用地；批发零售用地, 840.94平方米6套, , 0平方米0套, 滨江盛悦华府30栋:3层, 0平方米0套, 否, 0平方米0套, 广州银行股份有限公司江门分行(817000731302025), 0750-3167397, 江门市蓬江区住房和城乡建设局, 自2019年08月07日至2020年08月07日(过期无效), 2019年08月07日
广东省江门市商品房预售许可证, 编号:蓬江预许字第2019033号, 江门市越通房地产开发有限公司, 粤（江）房开证字第1260020号, , 天悦华庭, 江门市蓬江区西区工业与天沙河中路交叉口西北角, 12062.10平方米120套, 粤（2019）江门市不动产权第0011061号；其他商服用地，城镇住宅用地, 12062.10平方米120套, , 0平方米0套, 西区工业路6号天悦华庭3栋:21层, 0平方米0套, 否, 0平方米0套, 中国光大银行股份有限公司江门北新支行(54220188000029710), 0750-3167397, 江门市蓬江区住房和城乡建设局, 自2019年08月05日至2020年08月05日(过期无效), 2019年08月05日
广东省江门市商品房预售许可证, 编号:蓬江预许字第2019032号, 江门市蓬江区天阙房地产开发有限公司, 粤（江）房开证字第1200189号, , 杜阮碧桂园一期, 蓬江区杜阮镇杜阮一路南侧（瑶村村南山地段）, 11414.19平方米101套, 粤（2017）江门市不动产权第0043577；其他商服用地；城镇住宅用地, 10939.45平方米93套, , 474.74平方米8套, 江门市蓬江区杜阮镇珑悦府7栋、杜阮北一路81号:32层, 0平方米0套, 否, 0平方米0套, 中国工商银行股份有限公司江门江海支行(2012033219200022310), 0750-3167397, 江门市蓬江区住房和城乡建设局, 自2019年08月02日至2020年08月02日(过期无效), 2019年08月02日
广东省江门市商品房预售许可证, 编号:蓬江预许字第2019031号, 江门联粤房地产开发有限公司, 粤（江）房开证字第1260008号, , 联发·悦澜山, 江门市蓬江区杜阮镇群华路东南侧、灏景园西北侧（瑶村区坑、青草山、过岭、止云亭地段）, 4347.84平方米32套, 粤（2018）江门市不动产权第0048809号；其他商服用地、城镇住宅用地, 4347.84平方米32套, , 0平方米0套, 江门市蓬江区杜阮镇群策路3号悦澜雅居17栋:12层, 0平方米0套, 否, 0平方米0套, 中国银行股份有限公司江门分行(688671661731), 0750-3167397, 江门市蓬江区住房和城乡建设局, 自2019年07月30日至2020年07月30日(过期无效), 2019年07月30日
广东省江门市商品房预售许可证, 编号:蓬江预许字第2019030号, 江门联粤房地产开发有限公司, 粤（江）房开证字第1260008号, 预售栋江门市蓬江区杜阮镇群策路3号悦澜雅居5栋配建房屋面积：414.86平方米；套数：4套；房号：1701，2405，2501，2903, 联发·悦澜山, 江门市蓬江区杜阮镇群华路东南侧、灏景园西北侧（瑶村区坑、青草山、过岭、止云亭等地段）, 12445.80平方米120套, 粤（2018）江门市不动产权第0048809号；其他商服用地、城镇住宅用地, 12445.80平方米120套, , 0平方米0套, 江门市蓬江区杜阮镇群策路3号悦澜雅居5栋:22层, 0平方米0套, 否, 0平方米0套, 中国银行股份有限公司江门分行(739371938180), 0750-3167397, 江门市蓬江区住房和城乡建设局, 自2019年07月19日至2020年07月19日(过期无效), 2019年07月19日
广东省江门市商品房预售许可证, 编号:蓬江预许字第2019029号, 江门市蓬江区棠下碧桂园房地产开发有限公司, 粤（江）房开证字第1260003号, 预售栋江门市蓬江区棠下镇滨江碧桂园6栋配建房屋面积：2392.32平方米，套数：21套；房号：103、201、203、302、402、501、502、503、601、603、801、1102、1301、1401、1602、1703、2002、2303、2701、3003、3202, 滨江碧桂园, 江门市滨江新区华盛路与龙腾路交叉口东北角, 8902.05平方米78套, 粤（2017）江门市不动产权第0059441号；城镇住宅用地；其他商服用地, 8902.05平方米78套, , 0平方米0套, 江门市蓬江区棠下镇滨江滨江碧桂园6栋:33层, 0平方米0套, 否, 0平方米0套, 广州银行股份有限公司江门分行(817000538802052), 0750-3167397, 江门市蓬江区住房和城乡建设局, 自2019年07月17日至2020年07月17日(过期无效), 2019年07月17日
广东省江门市商品房预售许可证, 编号:蓬江预许字第2019028号, 江门市环市房地产开发公司群星分公司, 粤（江）房开证字第1261021号, , 星福·尚岭新筑花园三期, 江门市蓬江区群星村东华里北地段, 10989.36平方米84套, 粤（2016）江门市不动产权第0026786号；城镇住宅用地、其他商服用地, 8343.98平方米78套, 江门市蓬江区星福尚岭新筑花园26幢、27幢，群星大道48号、50号、52号：15层, 2645.38平方米6套, 江门市蓬江区星福尚岭新筑花园26幢、27幢，群星大道48号、50号、52号:11层, 0平方米0套, 否, 0平方米0套, 江门农村商业银行股份有限公司东华支行(80020000013792253), 0750-3167397, 江门市蓬江区住房和城乡建设局, 自2019年07月12日至2020年07月12日(过期无效), 2019年07月12日
广东省江门市商品房预售许可证, 编号:蓬江预许字第2019027号, 江门保利宏信房地产开发有限公司, 粤（江）房开证字第1261035号, , 保利商务中心, 江门市蓬江区滨江新区体育中心东侧，新南路与体育路交界处, 13659.53平方米93套, 江国用（2013）第203129号；普通商品住房用地、商务金融用地, 13659.53平方米93套, 蓬江区棠下镇园山北路100号保利商务中心1栋：32层, 0平方米0套, 蓬江区棠下镇园山北路100号保利商务中心1栋:22层, 0平方米0套, 否, 0平方米0套, 招商银行股份有限公司江门分行(750900018710111), 0750-3167397, 江门市蓬江区住房和城乡建设局, 自2019年06月28日至2020年06月28日(过期无效), 2019年06月28日
广东省江门市商品房预售许可证, 编号:蓬江预许字第2019026号, 江门昌能房地产开发有限公司, 粤（江）房开证字第1260017号, , 旭辉公馆, 江门市蓬江区龙福路北侧、凯茵豪庭东侧（环市街道里村汴溪里）地段, 10020.07平方米94套, 粤（2018）江门市不动产权第0077466号；城镇住宅用地；其他商服用地, 10020.07平方米94套, 旭辉公馆1栋：25层, 0平方米0套, 旭辉公馆1栋:17层, 0平方米0套, 否, 0平方米0套, 东亚银行（中国）有限公司江门支行(123610030870400), 0750-3167397, 江门市蓬江区住房和城乡建设局, 自2019年06月27日至2020年06月27日(过期无效), 2019年06月27日
广东省江门市商品房预售许可证, 编号:蓬江预许字第2019025号, 江门市灏昌房地产开发有限公司, 粤（江）房开证字第1261014号, , 灏昌园武昌苑5幢, 江门市蓬江区棠下镇新昌村委会猪乸环（土名）, 13430.86平方米96套, 粤（2017）江门市不动产权第0068220号；城镇混合住宅用地, 13430.86平方米96套, 灏昌园武昌苑5幢：24层, 0平方米0套, 灏昌园武昌苑5幢:24层, 0平方米0套, 否, 0平方米0套, 江门农村商业银行股份有限公司东华支行(80020000013196227), 0750-3167397, 江门市蓬江区住房和城乡建设局, 自2019年06月26日至2020年06月26日(过期无效), 2019年06月26日
广东省江门市商品房预售许可证, 编号:蓬江预许字第2019024号, 江门市滨江房地产开发投资有限公司, 粤（江）房开证字第1260018号, , 滨江盛悦华府, 江门市江门大道与华盛路立交东南角，桐井河以北地段, 15351.04平方米160套, 粤（2018）江门市不动产权第0097205号；城镇住宅用地；批发零售用地, 15351.04平方米160套, 滨江盛悦华府1栋：33层, 0平方米0套, 滨江盛悦华府1栋:22层, 0平方米0套, 否, 0平方米0套, 广州银行股份有限公司江门分行(817000731302033), 0750-3167397, 江门市蓬江区住房和城乡建设局, 自2019年06月18日至2020年06月18日(过期无效), 2019年06月18日
广东省江门市商品房预售许可证, 编号:蓬江预许字第2019023号, 江门市滨江房地产开发投资有限公司, 粤（江）房开证字第1260018号, , 滨江盛悦华府, 江门市江门大道与华盛路立交东南角，桐井河以北地段, 15350.72平方米160套, 粤（2018）江门市不动产权第0097205号；城镇住宅用地；批发零售用地, 15350.72平方米160套, 滨江盛悦华府2栋：33层, 0平方米0套, 滨江盛悦华府2栋:22层, 0平方米0套, 否, 0平方米0套, 广州银行股份有限公司江门分行(817000731302033), 0750-3167397, 江门市蓬江区住房和城乡建设局, 自2019年06月14日至2020年06月14日(过期无效), 2019年06月14日
广东省江门市商品房预售许可证, 编号:蓬江预许字第2019022号, 江门市利嘉盈置业有限公司, 粤（江）房开证字第1200190号, , 怡福·东华名岸, 江门市蓬江区堤东路73号、竹排后街1-34片区地块, 12195.36平方米108套, 粤（2017）江门市不动产权第0020184号；城镇住宅用地；其他商服用地, 12195.36平方米108套, 江门市蓬江区东华一路1号东华名岸园5栋：29层, 0平方米0套, 江门市蓬江区东华一路1号东华名岸园5栋:20层, 0平方米0套, 否, 0平方米0套, 恒生银行（中国）有限公司江门支行(731000824021), 0750-3167397, 江门市蓬江区住房和城乡建设局, 自2019年06月13日至2020年06月13日(过期无效), 2019年06月13日
广东省江门市商品房预售许可证, 编号:蓬江预许字第2019021号, 江门市利嘉盈置业有限公司, 粤（江）房开证字第1200190号, , 怡福·东华名岸, 江门市蓬江区堤东路73号、竹排后街1-34片区地块, 2226.37平方米7套, 粤（2017）江门市不动产权第0020184号；城镇住宅用地；其他商服用地, 0平方米0套, 江门市蓬江区东华一路3号：3层，江门市蓬江区东华一路5号：2层, 2226.37平方米7套, 江门市蓬江区东华一路3号:3层，江门市蓬江区东华一路5号:2层, 0平方米0套, 否, 0平方米0套, 恒生银行（中国）有限公司江门支行(731000717021), 0750-3167397, 江门市蓬江区住房和城乡建设局, 自2019年06月13日至2020年06月13日(过期无效), 2019年06月13日
