areaname, bookid, 开发企业名称, 开发资质证书号, 备注, 项目名称, 项目坐落, 预售房屋建筑面积, 土地使用权证号及用途, 住宅, 预售房屋栋号及层数, 商业用房, 发证时各栋已建层数, 办公用房统计, 预售房屋占用土地是否抵押, 其它, 预售款专用账户, 发证机关查询、投诉电话, 发证机关（盖章）, 有效期, 发证日期
广东省江门市商品房预售许可证, 编号:新会预许字第2019069号, 江门市恒捷房地产有限公司, 粤（江）房开证字第1211124号, , 贝沙湾, 江门市新会区会城惠康路9号贝沙湾8座, 12289.50平方米120套, 粤（2018）江门市不动产权第2065521号；批发零售用地、住宿餐饮用地、商务金融用地、其他商服用地、城镇住宅用地, 12289.50平方米120套, , 0平方米0套, 会城惠康路9号贝沙湾8座:0层, 0平方米0套, 否, 0平方米0套, 广发行新会第三支行(9550880211820500181), 0750-6607610, 江门市新会区住房和城乡建设局, 自2019年09月25日至2020年09月25日(过期无效), 2019年09月25日
广东省江门市商品房预售许可证, 编号:新会预许字第2019068号, 江门市名门房地产开发有限公司, 粤（江）房开证字第1210106号, , 新熙花园2#商业, 新会区会城大道29号, 5362.26平方米73套, 粤（2018）江门市不动产权第2089756号；城镇住宅用地；批发零售用地；住宿餐饮用地；商务金融用地；其他商服用地, 0平方米0套, , 5362.26平方米73套, 会城大道29号:已封顶层, 0平方米0套, 否, 0平方米0套, 江门农村商业银行股份有限公司会城支行(80020000013835834), 0750-6607610, 江门市新会区住房和城乡建设局, 自2019年09月19日至2020年09月19日(过期无效), 2019年09月19日
广东省江门市商品房预售许可证, 编号:新会预许字第2019066号, 江门市新会华达置业发展有限公司, 粤（江）房开证字第1210132号, , 御凯名都, 新会区会城人民路20号御凯名都10座, 6195.87平方米58套, 粤（2017）江门市不动产权第2001709号；城镇住宅用地、商服用地, 6195.87平方米58套, , 0平方米0套, 会城人民路20号御凯名都10座:10层, 0平方米0套, 否, 0平方米0套, 江门农村商业银行股份有限公司营业部(80020000013943180), 0750-6607610, 江门市新会区住房和城乡建设局, 自2019年09月19日至2020年09月19日(过期无效), 2019年09月19日
广东省江门市商品房预售许可证, 编号:新会预许字第2019065号, 江门市新会华达置业发展有限公司, 粤（江）房开证字第1210132号, , 御凯名都, 会城人民路20号, 2037.62平方米45套, 粤（2018）江门市不动产权第2064035号；城镇住宅用地；批发零售用地；其他商服用地；住宿餐饮用地；商务金融用地, 0平方米0套, , 0平方米0套, 会城人民路20号:已封顶层, 0平方米0套, 否, 2037.62平方米45套, 江门新会农村商业银行股份有限公司营业部(80020000013942722), 0750-6607610, 江门市新会区住房和城乡建设局, 自2019年09月19日至2020年09月19日(过期无效), 2019年09月19日
广东省江门市商品房预售许可证, 编号:新会预许字第2019064号, 江门市新会区睦和房地产有限公司, 粤（江）房开证字第1210131, , 上城御轩, 睦洲镇向文路2号2座, 3653.56平方米34套, 粤（2017）江门市不动产权第2033929号；批发零售用地；其他商服用地；城镇住宅用地；住宿餐饮用地；商务金融用地, 3313.65平方米30套, , 339.91平方米4套, 睦洲镇向文路2号2座:16层, 0平方米0套, 否, 0平方米0套, 江门新会农村商业银行股份有限公司睦洲支行(80020000013947639), 0750-6607610, 江门市新会区住房和城乡建设局, 自2019年09月18日至2020年09月18日(过期无效), 2019年09月18日
广东省江门市商品房预售许可证, 编号:新会预许字第2019063号, 江门市新会区睦和房地产有限公司, 粤（江）房开证字第1210131, , 上城御轩, 睦洲镇向文路2号1座, 3971.40平方米39套, 粤（2017）江门市不动产权第2033929号；批发零售用地；其他商服用地；城镇住宅用地；住宿餐饮用地；商务金融用地, 3303.15平方米30套, , 668.25平方米9套, 睦洲镇向文路2号1座:16层, 0平方米0套, 否, 0平方米0套, 江门新会农村商业银行股份有限公司睦洲支行(80020000013559374), 0750-6607610, 江门市新会区住房和城乡建设局, 自2019年09月18日至2020年09月18日(过期无效), 2019年09月18日
广东省江门市商品房预售许可证, 编号:新会预许字第2019062号, 江门市新会区联逸房地产开发有限公司, 粤（江）房开证字第1211117号, , 和景园, 江门市新会区司前镇中心大道16号, 5440.04平方米51套, ；, 5244.80平方米48套, , 0平方米0套, 和景园2座:12层, 0平方米0套, 否, 195.24平方米3套, 江门农村商业银行股份有限公司司前支行(80020000012898115), 0750-6607610, 江门市新会区住房和城乡建设局, 自2019年09月16日至2020年09月16日(过期无效), 2019年09月16日
广东省江门市商品房预售许可证, 编号:新会预许字第2019061号, 江门市新会区联逸房地产开发有限公司, 粤（江）房开证字第1211117号, , 和景园, 江门市新会区司前镇中心大道16号, 6029.10平方米60套, ；, 6029.10平方米60套, , 0平方米0套, 和景园1座:12层, 0平方米0套, 否, 0平方米0套, 江门农村商业银行股份有限公司司前支行(80020000012898115), 0750-6607610, 江门市新会区住房和城乡建设局, 自2019年09月16日至2020年09月16日(过期无效), 2019年09月16日
广东省江门市商品房预售许可证, 编号:新会预许字第2019060号, 江门市骏凯豪庭开发建设有限公司, 粤(江)房开证字第1211076号, , 江门新会骏凯豪庭, 江门市新会区会城银港大道65号, 1024.55平方米22套, 粤（2019）江门市不动产权第2066049号；批发零售用地，住宿餐饮用地，商务金融用地，其他商服用地，城镇住宅用地, 0平方米0套, , 0平方米0套, 会城银港大道65号:1层, 0平方米0套, 否, 1024.55平方米22套, 中国银行江门冈州支行营业部(715970280965), 0750-6607610, 江门市新会区住房和城乡建设局, 自2019年09月11日至2020年09月11日(过期无效), 2019年09月11日
广东省江门市商品房预售许可证, 编号:新会预许字第2019059号, 江门市骏凯豪庭开发建设有限公司, 粤(江)房开证字第1211076号, , 江门新会骏凯豪庭, 江门市新会区会城银港大道65号骏凯豪庭御海14座, 14615.89平方米131套, 粤（2019）江门市不动产权第2066049号；批发零售用地，住宿餐饮用地，商务金融用地，其他商服用地，城镇住宅用地, 14472.96平方米128套, , 0平方米0套, 银港大道65号骏凯豪庭御海14座:22层, 0平方米0套, 否, 142.93平方米3套, 中国银行江门冈州支行营业部(667872180590), 0750-6607610, 江门市新会区住房和城乡建设局, 自2019年09月10日至2020年09月10日(过期无效), 2019年09月10日
广东省江门市商品房预售许可证, 编号:新会预许字第2019058号, 江门市新会区粤航投资有限公司, 粤（江）房开证字第1210126号, , 大泽碧桂园凤凰花园, 大泽碧桂园凤凰花园36座 , 5086.63平方米36套, 粤（2017）江门市不动产权第2033229号 ；城镇住宅用地，批发零售用地，住宿餐饮用地，商务金融用地，其他商服用地, 5086.63平方米36套, , 0平方米0套, 大泽碧桂园凤凰花园36座:12层, 0平方米0套, 否, 0平方米0套, 中国工商银行股份有限公司江门新会支行　(2012063019022309025), 0750-6607610, 江门市新会区住房和城乡建设局, 自2019年09月10日至2020年09月10日(过期无效), 2019年09月10日
广东省江门市商品房预售许可证, 编号:新会预许字第2019057号, 江门市新会区粤航投资有限公司, 粤（江）房开证字第1210126号, , 大泽碧桂园凤凰花园, 江门市新会区大泽碧桂园凤凰花园35座, 5000.31平方米35套, 粤（2017）江门市不动产权第2033229号 ；城镇住宅用地，批发零售用地，住宿餐饮用地，商务金融用地，其他商服用地, 5000.31平方米35套, , 0平方米0套, 大泽碧桂园凤凰花园35座:12层, 0平方米0套, 否, 0平方米0套, 中国工商银行股份有限公司江门新会支行　(2012063019022308770), 0750-6607610, 江门市新会区住房和城乡建设局, 自2019年09月10日至2020年09月10日(过期无效), 2019年09月10日
广东省江门市商品房预售许可证, 编号:新会预许字第2019055号, 江门市力坤置业有限公司, 粤（江）房开证字第1210140号, , 玥府, 江门市新会区古井镇中心东路32号玥府8座, 13717.16平方米130套, 粤（2018）江门市不动产权第2073246号；其他商服用地、批发零售用地、住宿餐饮用地、商务金融用地、城镇住宅用地, 13373.44平方米128套, , 0平方米0套, 古井镇中心东路32号玥府8座:22层, 0平方米0套, 否, 343.72平方米2套, 中信银行股份有限公司江门新会支行(8110901013200856328), 0750-6607610, 江门市新会区住房和城乡建设局, 自2019年08月27日至2020年08月27日(过期无效), 2019年08月27日
广东省江门市商品房预售许可证, 编号:新会预许字第2019054号, 江门市新会区文清碧桂园房地产开发有限公司, 粤（江）房开证字第1210133号, , 大成花园, 江门市新会区会城文清路9号大成花园8座, 11219.30平方米98套, 粤（2018）江门市不动产权第2001357号 ；城镇住宅用地, 11203.13平方米97套, , 0平方米0套, 江门市新会区会城文清路9号大成花园8座:22层, 0平方米0套, 否, 16.17平方米1套, 兴业银行股份有限公司江门新会支行(398020100100040284), 0750-6607610, 江门市新会区住房和城乡建设局, 自2019年08月22日至2020年08月22日(过期无效), 2019年08月22日
广东省江门市商品房预售许可证, 编号:新会预许字第2019053号, 江门市骏凯豪庭开发建设有限公司, 粤(江)房开证字第1211076号, , 江门新会骏凯豪庭, 江门市新会区会城银港大道65号骏凯豪庭御海22座, 14561.06平方米131套, 新国用（2011）第03819号；城镇住宅用地, 14459.52平方米128套, , 0平方米0套, 会城银港大道65号骏凯豪庭御海22座:22层, 0平方米0套, 否, 101.54平方米3套, 中国邮政储蓄银行股份有限公司江门市新会支行(944006010001547779), 0750-6607610, 江门市新会区住房和城乡建设局, 自2019年08月05日至2020年08月05日(过期无效), 2019年08月05日
广东省江门市商品房预售许可证, 编号:新会预许字第2019052号, 江门市力坤置业有限公司, 粤（江）房开证字第1210140号, , 玥府, 江门市新会区古井镇中心东路32号玥府1座, 4114.88平方米32套, 粤（2018）江门市不动产权第2073246号；其他商服用地、批发零售用地、住宿餐饮用地、商务金融用地、城镇住宅用地, 4114.88平方米32套, , 0平方米0套, 古井镇中心东路32号玥府1座:11层, 0平方米0套, 否, 0平方米0套, 中信银行股份有限公司江门新会支行(8110901013200856328), 0750-6607610, 江门市新会区住房和城乡建设局, 自2019年08月05日至2020年08月05日(过期无效), 2019年08月05日
广东省江门市商品房预售许可证, 编号:新会预许字第2019051号, 江门市新会区华鸿工贸发展有限公司, 粤(江)房开证字第1211069号, , 碧华园, 新会区会城新会大道中45号碧华园31座, 14228平方米180套, 粤（2019）江门市不动产权第2001546号；商务金融用地；其他商服用地；城镇住宅用地；批发零售用地；住宿餐饮用地, 14228平方米180套, , 0平方米0套, 会城新会大道中45号碧华园31座:11层, 0平方米0套, 否, 0平方米0套, 江门新会农村商业银行股份有限公司荷塘支行(80020000012012833), 0750-6607610, 江门市新会区住房和城乡建设局, 自2019年08月02日至2020年08月02日(过期无效), 2019年08月02日
广东省江门市商品房预售许可证, 编号:新会预许字第2019050号, 江门市浩之华房地产开发有限公司, 440782000054931, , 金泽公馆, 江门市新会区大泽镇金泽路26号金泽公馆5座, 9464.68平方米136套, ；, 0平方米0套, , 9464.68平方米136套, 大泽镇金泽路26号金泽公馆5座:已封顶层, 0平方米0套, 否, 0平方米0套, 江门农村商业银行股份有限公司大泽支行(80020000013615728), 0750-6607610, 江门市新会区住房和城乡建设局, 自2019年07月26日至2020年07月26日(过期无效), 2019年07月26日
广东省江门市商品房预售许可证, 编号:新会预许字第2019049号, 江门市浩之华房地产开发有限公司, 440782000054931, , 金泽公馆, 江门市新会区大泽镇金泽路26号5座, 440.88平方米10套, 新国用（2011）第00749号；住宿餐饮用地, 0平方米0套, , 440.88平方米10套, 大泽镇金泽路26号5座:0层, 0平方米0套, 否, 0平方米0套, 江门农村商业银行股份有限公司大泽支行(80020000013615728), 0750-6607610, 江门市新会区住房和城乡建设局, 自2019年07月26日至2020年07月26日(过期无效), 2019年07月26日
广东省江门市商品房预售许可证, 编号:新会预许字第2019048号, 江门市新会区联逸房地产开发有限公司, 粤（江）房开证字第1211117号, , 和景园, 江门市新会区司前镇中心大道16号, 5013.69平方米14套, 新国用（2012）第00823号；城镇住宅用地、商服用地, 0平方米0套, , 5013.69平方米14套, 司前镇中心大道16号:0层, 0平方米0套, 否, 0平方米0套, 江门农村商业银行股份有限公司司前支行(80020000012898284), 0750-6607610, 江门市新会区住房和城乡建设局, 自2019年07月26日至2020年07月26日(过期无效), 2019年07月26日
广东省江门市商品房预售许可证, 编号:新会预许字第2019047号, 江门市力坤置业有限公司, 粤（江）房开证字第1210140号, , 玥府, 江门市新会区古井镇中心东路32号玥府2座, 4114.88平方米32套, 粤（2018）江门市不动产权第2073246号；其他商服用地、批发零售用地、住宿餐饮用地、商务金融用地、城镇住宅用地, 4114.88平方米32套, , 0平方米0套, 古井镇中心东路32号玥府2座:12层, 0平方米0套, 否, 0平方米0套, 中信银行股份有限公司江门新会支行(8110901013200856328), 0750-6607610, 江门市新会区住房和城乡建设局, 自2019年07月26日至2020年07月26日(过期无效), 2019年07月26日
广东省江门市商品房预售许可证, 编号:新会预许字第2019046号, 江门市骏凯豪庭开发建设有限公司, 粤(江)房开证字第1211076号, , 江门新会骏凯豪庭, 江门市新会区会城银港大道65号骏凯豪庭御海21座, 14512.96平方米131套, 粤（2019）江门市不动产权第2066049号；批发零售用地，住宿餐饮用地，商务金融用地，其他商服用地，城镇住宅用地, 14460.80平方米128套, , 0平方米0套, 会城银港大道65号骏凯豪庭御海21座:0层, 0平方米0套, 否, 52.16平方米3套, 中国邮政储蓄银行股份有限公司江门市新会支行(944006010001547779), 0750-6607610, 江门市新会区住房和城乡建设局, 自2019年07月26日至2020年07月26日(过期无效), 2019年07月26日
广东省江门市商品房预售许可证, 编号:新会预许字第2019045号, 江门市新会区新隆置业发展有限公司, 粤（江）房开证字第1210122号, , 海悦君庭（新隆部分）, 江门市新会区会城三和大道南9号海悦君庭17座, 12045.46平方米95套, 粤（2017）江门市不动产权第2045118号；城镇住宅用地；批发零售用地, 12045.46平方米95套, , 0平方米0套, 会城三和大道南9号海悦君庭17座:21层, 0平方米0套, 否, 0平方米0套, 广东华兴银行股份有限公司江门新会支行(808880100007279), 0750-6607610, 江门市新会区住房和城乡建设局, 自2019年07月24日至2020年07月24日(过期无效), 2019年07月24日
广东省江门市商品房预售许可证, 编号:新会预许字第2019044号, 江门市骏凯豪庭开发建设有限公司, 粤(江)房开证字第1211076号, , 江门新会骏凯豪庭, 江门市新会区会城银港大道65号骏凯豪庭御海15座, 14615.86平方米132套, 粤（2019）江门市不动产权第2066049号；批发零售用地，住宿餐饮用地，商务金融用地，其他商服用地，城镇住宅用地, 14458.24平方米128套, , 0平方米0套, 会城银港大道65号骏凯豪庭御海15座:0层, 0平方米0套, 否, 157.62平方米4套, 中国邮政储蓄银行股份有限公司江门市新会支行(944006010001547779), 0750-6607610, 江门市新会区住房和城乡建设局, 自2019年07月15日至2020年07月15日(过期无效), 2019年07月15日
广东省江门市商品房预售许可证, 编号:新会预许字第2019041号, 江门市众力房地产有限公司, 粤（江）房开证字第1211113号, , 珑城半山, 新会区会城大道28号珑城半山12座, 12837.44平方米115套, 粤（2019）江门市不动产权第2042591号；城镇住宅用地、商服用地, 12837.44平方米115套, 新会区会城大道28号珑城半山12座：30层, 0平方米0套, 新会区会城大道28号珑城半山12座:0层, 0平方米0套, 否, 0平方米0套, 江门新会农村商业银行股份有限公司环城支行(80020000011969643), 0750-6607610, 江门市新会区住房和城乡建设局, 自2019年07月04日至2020年07月04日(过期无效), 2019年07月04日
广东省江门市商品房预售许可证, 编号:新会预许字第2019043号, 江门市新会区司益房地产开发有限公司, 粤（江）房开证字第1211109号, , 名爵华府, 新会区司前镇益兴路3号, 258.32平方米4套, 新国用（2011）第01117号；, 0平方米0套, 司前镇益兴路3号：17层, 258.32平方米4套, 司前镇益兴路3号:已封顶层, 0平方米0套, 否, 0平方米0套, 江门农村商业银行股份有限公司司前支行(80020000012935454), 0750-6607610, 江门市新会区住房和城乡建设局, 自2019年07月04日至2020年07月04日(过期无效), 2019年07月04日
广东省江门市商品房预售许可证, 编号:新会预许字第2019042号, 江门市新会区司益房地产开发有限公司, 粤（江）房开证字第1211109号, , 名爵华府, 新会区司前镇益兴路1号, 1975.59平方米19套, 粤（2018）江门市不动产权第2064592号；, 0平方米0套, 司前镇益兴路1号：17层, 1975.59平方米19套, 司前镇益兴路1号:已封顶层, 0平方米0套, 否, 0平方米0套, 江门农村商业银行股份有限公司司前支行(80020000012935454), 0750-6607610, 江门市新会区住房和城乡建设局, 自2019年07月04日至2020年07月04日(过期无效), 2019年07月04日
广东省江门市商品房预售许可证, 编号:新会预许字第2019040号, 江门市众力房地产有限公司, 粤（江）房开证字第1211113号, , 珑城半山, 新会区会城大道28号珑城半山13座, 12837.44平方米115套, 粤（2019）江门市不动产权第2042591号；城镇住宅用地、商服用地, 12837.44平方米115套, 新会区会城大道28号珑城半山13座：30层, 0平方米0套, 新会区会城大道28号珑城半山13座:0层, 0平方米0套, 否, 0平方米0套, 江门新会农村商业银行股份有限公司环城支行(80020000011969643), 0750-6607610, 江门市新会区住房和城乡建设局, 自2019年07月03日至2020年07月03日(过期无效), 2019年07月03日
广东省江门市商品房预售许可证, 编号:新会预许字第2019039号, 江门市新会区今祥碧桂园房地产开发有限公司, 粤（江）房开证字第1210123号, , 新仕界花园, 会城今华路29号, 709.96平方米15套, 粤(2017)江门市不动产权第2009550号；城镇住宅用地、商服用地, 0平方米0套, 会城今华路29号：1层, 709.96平方米15套, 会城今华路29号:封顶层, 0平方米0套, 否, 0平方米0套, 招商银行股份有限公司江门新会支行　(757903393410803), 0750-6607610, 江门市新会区住房和城乡建设局, 自2019年06月26日至2020年06月26日(过期无效), 2019年06月26日
广东省江门市商品房预售许可证, 编号:新会预许字第2019038号, 江门市新会区文清碧桂园房地产开发有限公司, 粤（江）房开证字第1210133号, , 大成花园, 江门市新会区会城文清路9号大成花园10座, 11363.88平方米99套, 粤（2018）江门市不动产权第2001357号 ；, 11363.88平方米99套, 江门市新会区会城文清路9号大成花园10座：33层, 0平方米0套, 江门市新会区会城文清路9号大成花园10座:22层, 0平方米0套, 否, 0平方米0套, 兴业银行股份有限公司江门新会支行(398020100100040284), 0750-6607610, 江门市新会区住房和城乡建设局, 自2019年06月21日至2020年06月21日(过期无效), 2019年06月21日
广东省江门市商品房预售许可证, 编号:新会预许字第2019037号, 江门市新会区文清碧桂园房地产开发有限公司, 粤（江）房开证字第1210133号, , 大成花园, 江门市新会区会城文清路9号大成花园9座, 12220.80平方米96套, 粤（2018）江门市不动产权第2001357号 ；, 12220.80平方米96套, 江门市新会区会城文清路9号大成花园9座：32层, 0平方米0套, 江门市新会区会城文清路9号大成花园9座:21层, 0平方米0套, 否, 0平方米0套, 兴业银行股份有限公司江门新会支行(398020100100040284), 0750-6607610, 江门市新会区住房和城乡建设局, 自2019年06月21日至2020年06月21日(过期无效), 2019年06月21日
广东省江门市商品房预售许可证, 编号:新会预许字第2019036号, 江门市力坤置业有限公司, 粤（江）房开证字第1210140号, , 玥府, 江门市新会区古井镇中心东路32号玥府7座, 11722.76平方米112套, 粤（2018）江门市不动产权第2073246号；其他商服用地、批发零售用地、住宿餐饮用地、商务金融用地、城镇住宅用地, 11722.76平方米112套, 古井镇中心东路32号玥府7座：30层, 0平方米0套, 古井镇中心东路32号玥府7座:19层, 0平方米0套, 否, 0平方米0套, 中信银行股份有限公司江门新会支行(8110901013200856328), 0750-6607610, 江门市新会区住房和城乡建设局, 自2019年06月20日至2020年06月20日(过期无效), 2019年06月20日
广东省江门市商品房预售许可证, 编号:新会预许字第2019035号, 江门市新会区华韵投资有限公司, 粤（江）房开证字第1210139号, , 缤纷汇广场, 司前镇中心大道6号缤纷广场7座, 1405.09平方米15套, 粤（2018）江门市不动产权第2081535号；住宿餐饮用地, 0平方米0套, 司前镇中心大道6号缤纷汇广场7座：2层, 1405.09平方米15套, 司前镇中心大道6号缤纷汇广场7座:0层, 0平方米0套, 否, 0平方米0套, 江门市新会农村商业银行股份有限公司司前支行(80020000013614859), 0750-6607610, 江门市新会区住房和城乡建设局, 自2019年06月20日至2020年06月20日(过期无效), 2019年06月20日
广东省江门市商品房预售许可证, 编号:新会预许字第2019034号, 江门市新会区华韵投资有限公司, 粤（江）房开证字第1210139号, , 缤纷汇广场, 司前镇中心大道6号缤纷汇广场2座, 856.18平方米12套, 粤（2018）江门市不动产权第2081535号；住宿餐饮用地, 0平方米0套, 司前镇中心大道6号缤纷汇广场2座：1层, 856.18平方米12套, 司前镇中心大道6号缤纷汇广场2座:0层, 0平方米0套, 否, 0平方米0套, 江门市新会农村商业银行股份有限公司司前支行(80020000013614361), 0750-6607610, 江门市新会区住房和城乡建设局, 自2019年06月20日至2020年06月20日(过期无效), 2019年06月20日
